Ligand_ID	Receptor_ID	TF_ID	Pathway	pathway_ID	Ligand_Symbol	Receptor_Symbol	TF_Symbol
7432	153	26508	R-HSA-1643685_9	R-HSA-1643685	VIP	ADRB1	HEYL
7432	7253	26508	R-HSA-1643685_9	R-HSA-1643685	VIP	TSHR	HEYL
7432	7434	26508	R-HSA-1643685_9	R-HSA-1643685	VIP	VIPR2	HEYL
7474	8324	26508	R-HSA-1643685_6	R-HSA-1643685	WNT5A	FZD7	HEYL
8074	2260	26508	R-HSA-1643685_4	R-HSA-1643685	FGF23	FGFR1	HEYL
8074	2261	26508	R-HSA-1643685_4	R-HSA-1643685	FGF23	FGFR3	HEYL
8074	2263	26508	R-HSA-1643685_4	R-HSA-1643685	FGF23	FGFR2	HEYL
8074	2264	26508	R-HSA-1643685_4	R-HSA-1643685	FGF23	FGFR4	HEYL
8817	2260	26508	R-HSA-1643685_4	R-HSA-1643685	FGF18	FGFR1	HEYL
8817	2261	26508	R-HSA-1643685_4	R-HSA-1643685	FGF18	FGFR3	HEYL
8817	2263	26508	R-HSA-1643685_4	R-HSA-1643685	FGF18	FGFR2	HEYL
8817	2264	26508	R-HSA-1643685_4	R-HSA-1643685	FGF18	FGFR4	HEYL
8822	2260	26508	R-HSA-1643685_4	R-HSA-1643685	FGF17	FGFR1	HEYL
8822	2261	26508	R-HSA-1643685_4	R-HSA-1643685	FGF17	FGFR3	HEYL
8822	2263	26508	R-HSA-1643685_4	R-HSA-1643685	FGF17	FGFR2	HEYL
8822	2264	26508	R-HSA-1643685_4	R-HSA-1643685	FGF17	FGFR4	HEYL
8823	2260	26508	R-HSA-1643685_4	R-HSA-1643685	FGF16	FGFR1	HEYL
8823	2261	26508	R-HSA-1643685_4	R-HSA-1643685	FGF16	FGFR3	HEYL
8823	2263	26508	R-HSA-1643685_4	R-HSA-1643685	FGF16	FGFR2	HEYL
8823	2264	26508	R-HSA-1643685_4	R-HSA-1643685	FGF16	FGFR4	HEYL
89780	8324	26508	R-HSA-1643685_6	R-HSA-1643685	WNT3A	FZD7	HEYL
9542	2066	26508	R-HSA-1643685_4	R-HSA-1643685	NRG2	ERBB4	HEYL
9965	2260	26508	R-HSA-1643685_4	R-HSA-1643685	FGF19	FGFR1	HEYL
9965	2261	26508	R-HSA-1643685_4	R-HSA-1643685	FGF19	FGFR3	HEYL
9965	2263	26508	R-HSA-1643685_4	R-HSA-1643685	FGF19	FGFR2	HEYL
9965	2264	26508	R-HSA-1643685_4	R-HSA-1643685	FGF19	FGFR4	HEYL
23643	7099	26508	R-HSA-1643685_5	R-HSA-1643685	LY96	TLR4	HEYL
3082	2064	26508	R-HSA-1643685_4	R-HSA-1643685	HGF	ERBB2	HEYL
3082	2264	26508	R-HSA-1643685_4	R-HSA-1643685	HGF	FGFR4	HEYL
3082	5156	26508	R-HSA-1643685_4	R-HSA-1643685	HGF	PDGFRA	HEYL
4254	1956	26508	R-HSA-1643685_3	R-HSA-1643685	KITLG	EGFR	HEYL
4254	5159	26508	R-HSA-1643685_5	R-HSA-1643685	KITLG	PDGFRB	HEYL
1081	117	4609	R-HSA-1643685_9	R-HSA-1643685	CGA	ADCYAP1R1	MYC
1081	2492	4609	R-HSA-1643685_9	R-HSA-1643685	CGA	FSHR	MYC
1081	3973	4609	R-HSA-1643685_9	R-HSA-1643685	CGA	LHCGR	MYC
1081	7253	4609	R-HSA-1643685_9	R-HSA-1643685	CGA	TSHR	MYC
116	117	4609	R-HSA-1643685_9	R-HSA-1643685	ADCYAP1	ADCYAP1R1	MYC
116	7253	4609	R-HSA-1643685_9	R-HSA-1643685	ADCYAP1	TSHR	MYC
116	7434	4609	R-HSA-1643685_9	R-HSA-1643685	ADCYAP1	VIPR2	MYC
1392	1394	4609	R-HSA-1643685_9	R-HSA-1643685	CRH	CRHR1	MYC
1392	1395	4609	R-HSA-1643685_9	R-HSA-1643685	CRH	CRHR2	MYC
2488	117	4609	R-HSA-1643685_9	R-HSA-1643685	FSHB	ADCYAP1R1	MYC
2488	2492	4609	R-HSA-1643685_9	R-HSA-1643685	FSHB	FSHR	MYC
2488	7253	4609	R-HSA-1643685_9	R-HSA-1643685	FSHB	TSHR	MYC
2641	117	4609	R-HSA-1643685_9	R-HSA-1643685	GCG	ADCYAP1R1	MYC
2641	2696	4609	R-HSA-1643685_9	R-HSA-1643685	GCG	GIPR	MYC
2641	2740	4609	R-HSA-1643685_9	R-HSA-1643685	GCG	GLP1R	MYC
2641	7253	4609	R-HSA-1643685_9	R-HSA-1643685	GCG	TSHR	MYC
2691	2692	4609	R-HSA-1643685_9	R-HSA-1643685	GHRH	GHRHR	MYC
2695	117	4609	R-HSA-1643685_9	R-HSA-1643685	GIP	ADCYAP1R1	MYC
2695	2696	4609	R-HSA-1643685_9	R-HSA-1643685	GIP	GIPR	MYC
2695	7253	4609	R-HSA-1643685_9	R-HSA-1643685	GIP	TSHR	MYC
